method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,seed,load_scale,ablation_family,ablation_variant,experiment_label,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config
lstm,0.9596848073237316,1.0730961490737745,0.9037189534358976,1.8882095374358967,1.1651956822564102,0.6883030041715094,0.8396344436740022,0.3116969958284906,0.1603655563259977,0.6865560311610359,0.8394294354972172,,,,,,abilene,13,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
transformer,0.5634242021910739,0.663736732294389,0.9113613772239316,1.8949021369230767,1.1770940784529915,0.6878999992340168,0.8396668312809908,0.3121000007659831,0.160333168719009,0.6862269365861045,0.8393844011810769,,,,,,abilene,13,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.429683433838063,0.5363262124158182,0.9656694614700856,2.0503823603846154,1.260851404094017,0.6883171806681653,0.8400278302507826,0.3116828193318346,0.1599721697492174,0.6836800132322269,0.8396798726116926,,,,,,abilene,13,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
moving_average,1.0844293819848452,1.204909332066678,1.0437289678290598,2.2003142933333333,1.363663832,0.6888447455868287,0.8402792131572707,0.3111552544131712,0.1597207868427293,0.6858536779145183,0.840642212170994,,,,,,abilene,13,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
transformer,0.6127746489726807,0.7038746469151141,0.9978847617649572,1.3691091347948718,1.0562757355555557,0.7502847350578553,0.8248170352734344,0.2497152649421447,0.1751829647265656,0.7460195469197436,0.8253233940083878,,,,,,nsfnet,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
lstm,0.9537070777087754,1.0595626127038025,1.004369663846154,1.3792183495726495,1.0271690625042735,0.7507581630279045,0.8248633976159897,0.2492418369720954,0.1751366023840103,0.7452749971564901,0.8248247817180728,,,,,,nsfnet,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
linear_autoregressive,0.4680766785685675,0.5702570888482369,1.1320063499649573,1.5500524362064103,1.2494036464529914,0.750520218148288,0.8251182706453513,0.2494797818517121,0.1748817293546488,0.7464308243067335,0.825605076550311,,,,,,nsfnet,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
moving_average,1.057896690032152,1.1680452054872612,1.194922578251812,1.6339494967606838,1.2354204243846152,0.750909152561322,0.8252042812091342,0.249090847438678,0.1747957187908657,0.7459044394522123,0.8257776274655637,,,,,,nsfnet,7,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
transformer,0.6332961337557637,0.7307734817362898,0.9322091253504272,1.319221232834188,1.0026038987264956,0.742651397510437,0.8268286003517773,0.257348602489563,0.1731713996482226,0.7377525792922748,0.8258929693550819,,,,,,nsfnet,11,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
lstm,0.926015528287887,1.034796023899856,0.9507072535555556,1.3505865926666667,0.987089242923077,0.744304962573137,0.8267946297539447,0.2556950374268629,0.1732053702460552,0.7406767922372764,0.8259715949727902,,,,,,nsfnet,11,1.0,transformer,tuned_b,transformer:tuned_b,ml_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25
