ablation_family,ablation_variant,topology,load_scale,method,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_disrupted_fraction_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
uncertainty,mult_0p1,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.1,0.9232094060994059,1.0389692608891208,0.9256597700968662,0.005755874795866076,2.120918924159544,0.31899996781935697,0.6894931351975576,0.1635124010671689,0.8384028162554694,2.4684260333333334
uncertainty,mult_0p1,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.1,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
uncertainty,mult_0p1,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.1,0.4495726941863883,0.5843256358323424,1.133843692940171,0.03636754575060358,1.5956125400789174,0.23470621158194785,0.7609690814672189,0.16946460085575243,0.8314758412412151,2.1906133153846152
uncertainty,mult_0p1,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.1,0.9476772616854744,1.0542142335535265,1.001793006962963,0.029202685111769662,1.4163301646792021,0.2354171549369175,0.7611832916631296,0.16961736687988807,0.8310496260005399,1.9367649666666666
uncertainty,mult_0p25,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
uncertainty,mult_0p25,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4476716715414672,0.6105427049547374,1.0175199641916242,0.010506593748811058,2.6278899255698005,0.3198160340135418,0.6889717757168486,0.16570858775147335,0.8355553906706253,2.7133865717948713
uncertainty,mult_0p25,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.9232094060994059,1.0389692608891208,0.9519206711623932,0.006201597825906962,2.3865875162962964,0.31566307427285684,0.6953739369905257,0.16378997853681912,0.8384778155285889,2.538455105128205
uncertainty,mult_0p25,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
uncertainty,mult_0p25,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.4495726941863883,0.5843256358323424,1.133843692940171,0.03636754575060358,1.5956125400789174,0.23470621158194785,0.7609690814672189,0.16946460085575243,0.8314758412412151,2.1906133153846152
uncertainty,mult_0p25,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,3,1,0,0.5,0.5,0.25,0.9476772616854744,1.0542142335535265,1.0294217012877493,0.030000090671375046,1.4552264242450141,0.23564229924280491,0.7608921370073803,0.1696002067745949,0.8310668671740861,1.9896254666666666
